OTUID,sfk_lg_0001,sfk_lg_0002,sfk_lg_0004,sfk_lg_0006,sfk_lg_0007,sfk_lg_0008,sfk_lg_0009,sfk_lg_0010,sfk_lg_0011,sfk_lg_0012,sfk_lg_0015,sfk_lg_0016,sfk_lg_0017,sfk_lg_0020,sfk_lg_0021,sfk_lg_0022,sfk_lg_0023,sfk_lg_0024,sfk_lg_0027,sfk_lg_0030,sfk_lg_0032,sfk_lg_0033,sfk_lg_0034,sfk_lg_0035,sfk_lg_0036,sfk_lg_0037,sfk_lg_0038,sfk_lg_0041,sfk_lg_0042,sfk_lg_0043,sfk_lg_0044,sfk_lg_0046,sfk_lg_0047,sfk_lg_0048,sfk_lg_0049,sfk_lg_0050,sfk_lg_0053,sfk_lg_0054,sfk_lg_0057,sfk_lg_0058,sfk_lg_0059,sfk_lg_0060,sfk_lg_0061,sfk_lg_0062,sfk_lg_0063,sfk_lg_0064,sfk_lg_0067,sfk_lg_0070,sfk_lg_0071,sfk_lg_0072,sfk_lg_0073,sfk_lg_0074,sfk_lg_0078,sfk_lg_0079,sfk_lg_0080,sfk_lg_0081,sfk_lg_0083,sfk_lg_0084,sfk_lg_0085,sfk_lg_0086,sfk_lg_0089,sfk_lg_0090,sfk_lg_0091,sfk_lg_0092,sfk_lg_0093,sfk_lg_0094,sfk_lg_0095,sfk_lg_0096,sfk_lg_0097,sfk_lg_0098,sfk_lg_0099
83db869821b9908e0240eaecb0fc7fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03f0112c2299cb5b16ff91ba008e31b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d0da824ca3e9fca9c54f876b7e08479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2bd9309f2f97cae51d18d06ea1ca519a,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96ac75dfb38ceeba148008a0d6ab8f5f,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6cb8554bacf666885f13532fe255ae86,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a531e90eca5eb7bc7fe618a787d708c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,15,0,0
0bf9313a7747091c6ce2a0e8e5915008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
70d99051592fff208a26c5b5654c9e56,0,0,0,0,0,0,0,0,0,0,0,78,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,96,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,45,58,0,0,0,0,0,0,119,0,0,0,0,20,0,78,0
1f7e1ee741799497572d248fc77847ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
